data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
02/01/2010;18:52:00;74;sem vitima;529,5;BR-116/RS;Norte;Abalr.Mesmo Sentido;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
03/01/2010;17:44:00;75;sem vitima;422,6;BR-116/RS;Norte;Saida de Pista;0;0;2;0;2;0;0;0;0;0;57;0;0;0;0
03/01/2010;10:57:00;34;sem vitima;449,2;BR-116/RS;Norte;Abalr.Transversal;0;0;2;0;1;0;0;0;0;0;3;0;0;0;0
03/01/2010;06:02:00;13;sem vitima;35,7;BR-392/RS;Norte;Saida de Pista;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0
03/01/2010;02:33:00;7;sem vitima;42,7;BR-392/RS;Sul;Abalr.Transversal;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
03/01/2010;19:47:00;98;com vitima;47,2;BR-392/RS;Norte;Colisao Traseira;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0
03/01/2010;19:03:00;91;com vitima;51,3;BR-392/RS;Norte;Colisao Traseira;1;0;2;0;0;0;0;0;0;0;1;0;0;1;1
03/01/2010;12:14:00;48;com vitima;93,7;BR-392/RS;Norte;Tombamento;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0
04/01/2010;07:32:00;14;com vitima;614,6;BR-116/RS;Norte;Saida de Pista;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0
05/01/2010;14:09:00;56;com vitima;37,7;BR-392/RS;Norte;Tombamento;0;0;2;1;1;0;0;0;0;0;1;1;0;0;0
05/01/2010;20:43:00;93;com vitima;3;BR-604/RS;Sul;Outros tipos de acidente;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0
06/01/2010;05:55:00;10;com vitima;122,7;BR-293/RS;Norte;Saida de Pista;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0
06/01/2010;01:11:00;4;sem vitima;99,5;BR-392/RS;Sul;Tombamento;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
07/01/2010;12:44:00;52;sem vitima;400,5;BR-116/RS;Sul;Saida de Pista;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0
07/01/2010;11:22:00;42;sem vitima;42;BR-392/RS;Norte;Abalr.Mesmo Sentido;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0
07/01/2010;17:02:00;76;sem vitima;507,7;BR-116/RS;Sul;Colisao Traseira;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0
07/01/2010;22:27:00;95;sem vitima;2,9;BR-604/RS;Sul;Colisao com Objeto Fixo;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
